time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-12-23 9:48:20:238	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.21	16.97	175.09	13.467	-49.275	185.225	0.11624	-0.05154	0.69479	0.70782	24.2	10080.1.13	75
2024-12-23 9:48:20:351	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.03	19.04	175.02	13.467	-49.275	185.225	0.14743	-0.09021	0.68942	0.70334	24.2	10080.1.13	75
2024-12-23 9:48:20:417	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.94	19.20	174.81	13.467	-49.275	185.225	0.14743	-0.09021	0.68942	0.70334	24.2	10080.1.13	75
2024-12-23 9:48:20:528	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.74	20.77	174.44	15.300	-48.892	194.750	0.14743	-0.09021	0.68942	0.70334	24.2	10080.1.13	75
2024-12-23 9:48:20:620	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.20	25.64	173.79	15.300	-48.892	194.750	0.14743	-0.09021	0.68942	0.70334	24.2	10080.1.13	75
2024-12-23 9:48:20:755	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.63	26.89	173.09	15.300	-48.892	194.750	0.20068	-0.12637	0.67630	0.69733	24.2	10080.1.13	75
2024-12-23 9:48:20:822	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.56	24.99	172.80	15.300	-48.892	194.750	0.20068	-0.12637	0.67630	0.69733	24.2	10080.1.13	75
2024-12-23 9:48:20:937	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.63	24.42	172.66	15.075	-49.642	203.600	0.20068	-0.12637	0.67630	0.69733	24.2	10080.1.13	75
2024-12-23 9:48:21:24	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.61	24.60	172.62	15.075	-49.642	203.600	0.20068	-0.12637	0.67630	0.69733	24.2	10080.1.13	75
2024-12-23 9:48:21:139	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.54	25.13	172.69	15.075	-49.642	203.600	0.19226	-0.11404	0.67798	0.70020	24.2	10080.1.13	75
2024-12-23 9:48:21:249	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.74	22.90	172.97	15.075	-49.642	203.600	0.19226	-0.11404	0.67798	0.70020	24.2	10080.1.13	75
2024-12-23 9:48:21:361	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.17	19.40	173.29	15.142	-49.242	192.392	0.19226	-0.11404	0.67798	0.70020	24.2	10080.1.13	75
2024-12-23 9:48:21:429	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.30	22.09	173.20	15.142	-49.242	192.392	0.19226	-0.11404	0.67798	0.70020	24.2	10080.1.13	75
2024-12-23 9:48:21:543	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.23	24.38	172.97	15.142	-49.242	192.392	0.19077	-0.11157	0.68347	0.69565	24.2	10080.1.13	75
2024-12-23 9:48:21:630	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.53	24.16	172.85	15.142	-49.242	192.392	0.19077	-0.11157	0.68347	0.69565	24.2	10080.1.13	75
2024-12-23 9:48:21:744	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.42	23.58	172.68	14.483	-50.167	209.967	0.19077	-0.11157	0.68347	0.69565	24.2	10080.1.13	75
2024-12-23 9:48:21:835	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.30	24.35	172.42	14.483	-50.167	209.967	0.19077	-0.11157	0.68347	0.69565	24.2	10080.1.13	75
2024-12-23 9:48:21:947	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.18	25.50	172.23	14.483	-50.167	209.967	0.20047	-0.11411	0.68149	0.69446	24.2	10080.1.13	75
2024-12-23 9:48:22:39	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.17	23.20	172.14	14.483	-50.167	209.967	0.20047	-0.11411	0.68149	0.69446	24.2	10080.1.13	75
2024-12-23 9:48:22:149	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.53	20.78	172.12	16.308	-47.433	182.408	0.20047	-0.11411	0.68149	0.69446	24.2	10080.1.13	75
2024-12-23 9:48:22:263	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.70	21.91	171.81	16.308	-47.433	182.408	0.20047	-0.11411	0.68149	0.69446	24.2	10080.1.13	75
2024-12-23 9:48:22:376	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.68	25.81	171.38	16.308	-47.433	182.408	0.21494	-0.11621	0.68475	0.68649	24.2	10080.1.13	75
2024-12-23 9:48:22:443	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.95	27.94	171.11	16.308	-47.433	182.408	0.21494	-0.11621	0.68475	0.68649	24.2	10080.1.13	75
2024-12-23 9:48:22:554	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.38	28.27	171.14	16.075	-49.167	208.558	0.21494	-0.11621	0.68475	0.68649	24.2	10080.1.13	75
2024-12-23 9:48:22:646	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.59	26.44	171.33	16.075	-49.167	208.558	0.21494	-0.11621	0.68475	0.68649	24.2	10080.1.13	75
2024-12-23 9:48:22:756	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.45	22.89	171.41	16.075	-49.167	208.558	0.18204	-0.08218	0.69263	0.69302	24.2	10080.1.13	75
2024-12-23 9:48:22:846	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.02	17.66	171.55	16.075	-49.167	208.558	0.18204	-0.08218	0.69263	0.69302	24.2	10080.1.13	75
2024-12-23 9:48:22:959	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.63	12.84	171.78	13.100	-50.083	193.458	0.18204	-0.08218	0.69263	0.69302	24.2	10080.1.13	75
2024-12-23 9:48:23:48	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.79	13.07	172.02	13.100	-50.083	193.458	0.18204	-0.08218	0.69263	0.69302	24.2	10080.1.13	75
2024-12-23 9:48:23:163	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.89	11.85	172.23	13.100	-50.083	193.458	0.11581	-0.02383	0.69443	0.70972	24.2	10080.1.13	75
2024-12-23 9:48:23:231	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.23	9.44	172.43	13.100	-50.083	193.458	0.11581	-0.02383	0.69443	0.70972	24.2	10080.1.13	75
2024-12-23 9:48:23:387	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.32	6.80	172.52	10.750	-49.967	193.325	0.11581	-0.02383	0.69443	0.70972	24.2	10080.1.13	75
2024-12-23 9:48:23:431	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.09	5.50	172.54	10.750	-49.967	193.325	0.11581	-0.02383	0.69443	0.70972	24.2	10080.1.13	75
2024-12-23 9:48:23:566	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.04	5.73	172.51	10.750	-49.967	193.325	0.08435	0.00677	0.69510	0.71384	24.2	10080.1.13	75
2024-12-23 9:48:23:633	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.14	7.27	172.45	10.750	-49.967	193.325	0.08435	0.00677	0.69510	0.71384	24.2	10080.1.13	75
2024-12-23 9:48:23:770	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.41	9.60	172.36	11.792	-50.100	191.867	0.08435	0.00677	0.69510	0.71384	24.2	10080.1.13	75
2024-12-23 9:48:23:837	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.53	11.84	172.28	11.792	-50.100	191.867	0.08435	0.00677	0.69510	0.71384	24.2	10080.1.13	75
2024-12-23 9:48:23:970	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.52	12.60	172.21	11.792	-50.100	191.867	0.12405	-0.03030	0.69739	0.70514	24.2	10080.1.13	75
2024-12-23 9:48:24:60	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.50	11.86	172.17	11.792	-50.100	191.867	0.12405	-0.03030	0.69739	0.70514	24.2	10080.1.13	75
2024-12-23 9:48:24:174	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.49	10.54	172.17	12.275	-49.533	191.558	0.12405	-0.03030	0.69739	0.70514	24.2	10080.1.13	75
2024-12-23 9:48:24:240	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.48	9.55	172.19	12.275	-49.533	191.558	0.12405	-0.03030	0.69739	0.70514	24.2	10080.1.13	75
2024-12-23 9:48:24:357	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.41	9.00	172.22	12.275	-49.533	191.558	0.10202	-0.00827	0.69684	0.70981	24.2	10080.1.13	75
2024-12-23 9:48:24:446	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.28	8.81	172.26	12.275	-49.533	191.558	0.10202	-0.00827	0.69684	0.70981	24.2	10080.1.13	75
2024-12-23 9:48:24:580	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.15	8.73	172.30	12.008	-49.533	191.075	0.10202	-0.00827	0.69684	0.70981	24.2	10080.1.13	75
2024-12-23 9:48:24:650	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.11	8.65	172.38	12.008	-49.533	191.075	0.10202	-0.00827	0.69684	0.70981	24.2	10080.1.13	75
2024-12-23 9:48:24:761	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.08	8.33	172.46	12.008	-49.533	191.075	0.09589	-0.00534	0.69510	0.71240	24.2	10080.1.13	75
2024-12-23 9:48:24:851	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.03	7.76	172.55	12.008	-49.533	191.075	0.09589	-0.00534	0.69510	0.71240	24.2	10080.1.13	75
2024-12-23 9:48:24:964	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.02	7.60	172.61	11.075	-49.950	190.708	0.09589	-0.00534	0.69510	0.71240	24.2	10080.1.13	75
2024-12-23 9:48:25:55	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.07	8.45	172.64	11.075	-49.950	190.708	0.09589	-0.00534	0.69510	0.71240	24.2	10080.1.13	75
2024-12-23 9:48:25:166	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.13	9.60	172.64	11.075	-49.950	190.708	0.10562	-0.01721	0.69565	0.71030	24.2	10080.1.13	75
2024-12-23 9:48:25:255	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.20	10.06	172.64	11.075	-49.950	190.708	0.10562	-0.01721	0.69565	0.71030	24.2	10080.1.13	75
2024-12-23 9:48:25:367	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.25	10.20	172.64	11.992	-50.008	190.033	0.10562	-0.01721	0.69565	0.71030	24.2	10080.1.13	75
2024-12-23 9:48:25:458	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.27	10.11	172.65	11.992	-50.008	190.033	0.10562	-0.01721	0.69565	0.71030	24.2	10080.1.13	75
2024-12-23 9:48:25:570	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.31	9.94	172.64	11.992	-50.008	190.033	0.10638	-0.01767	0.69656	0.70929	24.2	10080.1.13	75
2024-12-23 9:48:25:660	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.32	10.11	172.62	11.992	-50.008	190.033	0.10638	-0.01767	0.69656	0.70929	24.2	10080.1.13	75
2024-12-23 9:48:25:773	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.34	10.23	172.65	12.417	-49.933	190.400	0.10638	-0.01767	0.69656	0.70929	24.2	10080.1.13	75
2024-12-23 9:48:25:864	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.23	10.06	172.63	12.417	-49.933	190.400	0.10638	-0.01767	0.69656	0.70929	24.2	10080.1.13	75
2024-12-23 9:48:25:975	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.98	9.84	172.62	12.417	-49.933	190.400	0.10873	-0.02017	0.69388	0.71149	24.2	10080.1.13	75
2024-12-23 9:48:26:65	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.65	9.73	172.54	12.417	-49.933	190.400	0.10873	-0.02017	0.69388	0.71149	24.2	10080.1.13	75
2024-12-23 9:48:26:202	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.68	8.03	172.56	11.308	-50.167	197.325	0.10873	-0.02017	0.69388	0.71149	24.2	10080.1.13	75
2024-12-23 9:48:26:268	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.87	11.91	172.51	11.308	-50.167	197.325	0.10873	-0.02017	0.69388	0.71149	24.2	10080.1.13	75
2024-12-23 9:48:26:381	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.70	17.09	172.50	11.308	-50.167	197.325	0.15863	-0.07236	0.68915	0.70328	24.2	10080.1.13	75
2024-12-23 9:48:26:470	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	19.00	172.58	11.308	-50.167	197.325	0.15863	-0.07236	0.68915	0.70328	24.2	10080.1.13	75
2024-12-23 9:48:26:582	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.14	16.35	172.77	12.608	-49.392	200.800	0.15863	-0.07236	0.68915	0.70328	24.2	10080.1.13	75
2024-12-23 9:48:26:673	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.82	13.19	173.12	12.608	-49.392	200.800	0.15863	-0.07236	0.68915	0.70328	24.2	10080.1.13	75
2024-12-23 9:48:26:788	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.70	8.94	173.45	12.608	-49.392	200.800	0.09372	-0.01788	0.68622	0.72104	24.2	10080.1.13	75
2024-12-23 9:48:26:876	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.72	9.04	173.60	12.608	-49.392	200.800	0.09372	-0.01788	0.68622	0.72104	24.2	10080.1.13	75
2024-12-23 9:48:26:989	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.54	5.47	173.82	10.833	-50.967	196.808	0.09372	-0.01788	0.68622	0.72104	24.2	10080.1.13	75
