time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-12-23 9:48:16:120	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.61	11.23	171.97	12.950	-49.367	165.475	0.11862	-0.02267	0.69214	0.71152	24.2	10080.1.13	75
2024-12-23 9:48:16:186	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.61	11.15	171.99	12.950	-49.367	165.475	0.11862	-0.02267	0.69214	0.71152	24.2	10080.1.13	75
2024-12-23 9:48:16:298	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.62	10.91	171.99	12.950	-49.367	165.475	0.11563	-0.02029	0.69217	0.71204	24.2	10080.1.13	75
2024-12-23 9:48:16:411	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.57	10.71	172.00	12.950	-49.367	165.475	0.11563	-0.02029	0.69217	0.71204	24.2	10080.1.13	75
2024-12-23 9:48:16:523	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.48	9.81	172.04	12.125	-48.942	165.567	0.11563	-0.02029	0.69217	0.71204	24.2	10080.1.13	75
2024-12-23 9:48:16:592	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.50	10.16	172.05	12.125	-48.942	165.567	0.11563	-0.02029	0.69217	0.71204	24.2	10080.1.13	75
2024-12-23 9:48:16:705	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.53	10.84	172.02	12.125	-48.942	165.567	0.11606	-0.02097	0.69189	0.71222	24.2	10080.1.13	75
2024-12-23 9:48:16:799	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.59	11.59	172.00	12.125	-48.942	165.567	0.11606	-0.02097	0.69189	0.71222	24.2	10080.1.13	75
2024-12-23 9:48:16:907	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.62	12.07	171.98	12.733	-49.433	165.267	0.11606	-0.02097	0.69189	0.71222	24.2	10080.1.13	75
2024-12-23 9:48:16:997	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.63	11.61	171.97	12.733	-49.433	165.267	0.11606	-0.02097	0.69189	0.71222	24.2	10080.1.13	75
2024-12-23 9:48:17:110	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.61	10.68	171.99	12.733	-49.433	165.267	0.11398	-0.01846	0.69232	0.71222	24.2	10080.1.13	75
2024-12-23 9:48:17:206	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.62	10.60	172.01	12.733	-49.433	165.267	0.11398	-0.01846	0.69232	0.71222	24.2	10080.1.13	75
2024-12-23 9:48:17:313	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.56	11.33	172.03	12.633	-49.558	165.975	0.11398	-0.01846	0.69232	0.71222	24.2	10080.1.13	75
2024-12-23 9:48:17:426	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.50	11.78	172.01	12.633	-49.558	165.975	0.11398	-0.01846	0.69232	0.71222	24.2	10080.1.13	75
2024-12-23 9:48:17:537	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.53	11.80	171.99	12.633	-49.558	165.975	0.12024	-0.02502	0.69171	0.71158	24.2	10080.1.13	75
2024-12-23 9:48:17:605	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.61	11.40	172.00	12.633	-49.558	165.975	0.12024	-0.02502	0.69171	0.71158	24.2	10080.1.13	75
2024-12-23 9:48:17:718	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.61	12.05	171.97	13.600	-49.442	166.450	0.12024	-0.02502	0.69171	0.71158	24.2	10080.1.13	75
2024-12-23 9:48:17:808	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.58	12.08	171.97	13.600	-49.442	166.450	0.12024	-0.02502	0.69171	0.71158	24.2	10080.1.13	75
2024-12-23 9:48:17:920	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.56	11.83	171.97	13.600	-49.442	166.450	0.12183	-0.02679	0.69177	0.71118	24.2	10080.1.13	75
2024-12-23 9:48:18:8	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.57	11.63	171.97	13.600	-49.442	166.450	0.12183	-0.02679	0.69177	0.71118	24.2	10080.1.13	75
2024-12-23 9:48:18:123	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.62	11.88	171.97	12.508	-48.925	166.125	0.12183	-0.02679	0.69177	0.71118	24.2	10080.1.13	75
2024-12-23 9:48:18:213	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.63	11.56	171.99	12.508	-48.925	166.125	0.12183	-0.02679	0.69177	0.71118	24.2	10080.1.13	75
2024-12-23 9:48:18:326	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.62	10.63	172.01	12.508	-48.925	166.125	0.11328	-0.01813	0.69229	0.71237	24.2	10080.1.13	75
2024-12-23 9:48:18:438	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.62	10.60	172.02	12.508	-48.925	166.125	0.11328	-0.01813	0.69229	0.71237	24.2	10080.1.13	75
2024-12-23 9:48:18:551	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.64	11.59	172.00	12.833	-49.233	166.025	0.11328	-0.01813	0.69229	0.71237	24.2	10080.1.13	75
2024-12-23 9:48:18:617	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.66	12.27	171.98	12.833	-49.233	166.025	0.11328	-0.01813	0.69229	0.71237	24.2	10080.1.13	75
2024-12-23 9:48:18:731	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.64	11.66	172.01	12.833	-49.233	166.025	0.11780	-0.02280	0.69226	0.71152	24.2	10080.1.13	75
2024-12-23 9:48:18:800	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.61	10.71	172.03	12.833	-49.233	166.025	0.11780	-0.02280	0.69226	0.71152	24.2	10080.1.13	75
2024-12-23 9:48:18:934	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.64	10.38	172.05	12.292	-49.283	165.492	0.11780	-0.02280	0.69226	0.71152	24.2	10080.1.13	75
2024-12-23 9:48:19:2	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.70	7.23	172.13	12.292	-49.283	165.492	0.11780	-0.02280	0.69226	0.71152	24.2	10080.1.13	75
2024-12-23 9:48:19:136	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.69	0.90	172.28	12.292	-49.283	165.492	0.05420	0.04044	0.69153	0.71909	24.2	10080.1.13	75
2024-12-23 9:48:19:225	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.61	2.65	172.22	12.292	-49.283	165.492	0.05420	0.04044	0.69153	0.71909	24.2	10080.1.13	75
2024-12-23 9:48:19:336	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.63	3.76	172.27	10.300	-49.667	178.967	0.05420	0.04044	0.69153	0.71909	24.2	10080.1.13	75
2024-12-23 9:48:19:411	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.66	5.22	172.45	10.300	-49.667	178.967	0.05420	0.04044	0.69153	0.71909	24.2	10080.1.13	75
2024-12-23 9:48:19:564	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.75	7.75	172.73	10.300	-49.667	178.967	0.09534	-0.00870	0.69330	0.71420	24.2	10080.1.13	75
2024-12-23 9:48:19:607	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.90	12.11	173.08	10.300	-49.667	178.967	0.09534	-0.00870	0.69330	0.71420	24.2	10080.1.13	75
2024-12-23 9:48:19:741	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.08	15.75	173.52	13.400	-49.658	184.408	0.09534	-0.00870	0.69330	0.71420	24.2	10080.1.13	75
2024-12-23 9:48:19:809	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.21	16.10	174.02	13.400	-49.658	184.408	0.09534	-0.00870	0.69330	0.71420	24.2	10080.1.13	75
2024-12-23 9:48:19:946	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.27	13.90	174.45	13.400	-49.658	184.408	0.11624	-0.05154	0.69479	0.70782	24.2	10080.1.13	75
2024-12-23 9:48:20:12	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.31	12.78	174.80	13.400	-49.658	184.408	0.11624	-0.05154	0.69479	0.70782	24.2	10080.1.13	75
2024-12-23 9:48:20:148	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	88.34	14.34	175.02	13.467	-49.275	185.225	0.11624	-0.05154	0.69479	0.70782	24.2	10080.1.13	75
