time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-12-23 9:46:33:180	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.42	-27.27	-179.99	3.167	-48.167	192.825	-0.15717	0.16772	0.66727	0.70837	26.4	10080.1.13	60
2024-12-23 9:46:33:268	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.19	-27.40	-179.97	-0.142	-47.708	206.825	-0.15717	0.16772	0.66727	0.70837	26.4	10080.1.13	60
2024-12-23 9:46:33:380	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.21	-26.14	179.82	-0.142	-47.708	206.825	-0.15717	0.16772	0.66727	0.70837	26.4	10080.1.13	60
2024-12-23 9:46:33:470	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.57	-21.84	179.50	-0.142	-47.708	206.825	-0.11642	0.13086	0.67517	0.71649	26.4	10080.1.13	60
2024-12-23 9:46:33:587	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.80	-19.72	179.40	-0.142	-47.708	206.825	-0.11642	0.13086	0.67517	0.71649	26.4	10080.1.13	60
2024-12-23 9:46:33:651	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.96	-21.46	179.53	1.692	-47.842	202.575	-0.11642	0.13086	0.67517	0.71649	26.4	10080.1.13	60
2024-12-23 9:46:33:809	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.01	-24.77	179.71	1.692	-47.842	202.575	-0.11642	0.13086	0.67517	0.71649	26.4	10080.1.13	60
2024-12-23 9:46:33:854	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.05	-29.26	179.91	1.692	-47.842	202.575	-0.17773	0.18707	0.66623	0.69962	26.4	10080.1.13	60
2024-12-23 9:46:33:987	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.34	-30.77	179.90	1.692	-47.842	202.575	-0.17773	0.18707	0.66623	0.69962	26.4	10080.1.13	60
2024-12-23 9:46:34:56	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.54	-30.21	179.82	-0.742	-48.808	206.783	-0.17773	0.18707	0.66623	0.69962	26.4	10080.1.13	60
2024-12-23 9:46:34:192	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.41	-28.45	179.79	-0.742	-48.808	206.783	-0.17773	0.18707	0.66623	0.69962	26.4	10080.1.13	60
2024-12-23 9:46:34:259	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.25	-27.27	179.76	-0.742	-48.808	206.783	-0.15579	0.16763	0.67117	0.70499	26.4	10080.1.13	60
2024-12-23 9:46:34:393	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.39	-24.75	179.47	-0.742	-48.808	206.783	-0.15579	0.16763	0.67117	0.70499	26.4	10080.1.13	60
2024-12-23 9:46:34:485	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.54	-20.79	179.31	0.717	-49.317	214.442	-0.15579	0.16763	0.67117	0.70499	26.4	10080.1.13	60
2024-12-23 9:46:34:601	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.44	-21.02	179.42	0.717	-49.317	214.442	-0.15579	0.16763	0.67117	0.70499	26.4	10080.1.13	60
2024-12-23 9:46:34:665	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.14	-23.07	179.68	0.717	-49.317	214.442	-0.14642	0.15637	0.67160	0.70920	26.4	10080.1.13	60
2024-12-23 9:46:34:821	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.63	-27.77	-179.91	0.717	-49.317	214.442	-0.14642	0.15637	0.67160	0.70920	26.4	10080.1.13	60
